Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
2124 Oretha Castle Haley Blvd,2124 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,11/24/2025 11:59:00 PM,"(29.9371576270209, -90.0825894744083)",3676975.24,524801.13
2204 Marais St,2204 Marais St,Short Term Rental Commercial Owner,2,4,06/03/2025 11:59:00 PM,"(29.969502805501, -90.0564140779064)",3685134.23,536654.45
514 General Pershing St,514 General Pershing St,Short Term Rental Commercial Owner,3,6,11/25/2025 11:59:00 PM,"(29.9175865061094, -90.0999951281022)",3671539.25,517624.6
3219 Saint Claude Ave,3219 Saint Claude Ave,Short Term Rental Commercial Owner,3,6,11/25/2025 11:59:00 PM,"(29.9673758525937, -90.0418699697382)",3689747.74,535932.62
846 Bartholomew St,846 Bartholomew St,Short Term Rental Commercial Owner,5,10,06/04/2025 11:59:00 PM,"(29.9632855215663, -90.0362042847837)",3691558.42,534465.49
3512 D'hemecourt St,3512 D'hemecourt St,Short Term Rental Commercial Owner,3,6,09/17/2025 11:59:00 PM,"(29.9666614974588, -90.099381546789)",3671541.44,535472.19
1347 Franklin Ave,1347 Franklin Ave,Short Term Rental Commercial Owner,4,8,09/16/2025 11:59:00 PM,"(29.9718566811683, -90.049141215455)",3687427.29,537536.14
THE TROUBADOUR,1111 GRAVIER,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,,
3035 Fourth St,3035 Fourth St,Short Term Rental Commercial Owner,2,4,04/17/2025 11:59:00 PM,"(29.9437239703228, -90.094148429512)",3673288.55,527149.12
1802 Oretha Castle Haley Blvd,1802 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,2,4,04/15/2025 11:59:00 PM,"(29.9388496615006, -90.0807093580153)",3677563.97,525422.92
2734 Toulouse St,2734 Toulouse St,Short Term Rental Commercial Owner,5,10,08/01/2025 11:59:00 PM,"(29.9701180286267, -90.0849879322818)",3676085.04,536778.48
1427 St Bernard Ave,1427 St Bernard Ave,Short Term Rental Commercial Owner,3,6,06/06/2025 11:59:00 PM,"(29.9716808226446, -90.0647908785977)",3682473.29,537417
311 Octavia St,311 Octavia St,Short Term Rental Commercial Owner,5,10,05/29/2025 11:59:00 PM,"(29.9167440578661, -90.1170725986662)",3666132.78,517260.43
1345 Franklin Ave,1345 Franklin Ave,Short Term Rental Commercial Owner,3,6,09/16/2025 11:59:00 PM,"(29.9718178231718, -90.0491496120162)",3687424.79,537521.98
4861 Tchoupitoulas St,4861 Tchoupitoulas St,Short Term Rental Commercial Owner,5,10,04/18/2025 11:59:00 PM,"(29.9167202287616, -90.1074229828185)",3669189.66,517284.34
4510 Magazine St,4510 Magazine St,Short Term Rental Commercial Owner,3,6,04/14/2025 11:59:00 PM,"(29.9205845179855, -90.1030449718852)",3670561.43,518704.4
,,Short Term Rental Commercial Owner,2,4,06/02/2025 11:59:00 PM,"(29.9166581903657, -90.1083027507153)",3668911.21,517258.8
849 Alvar St,849 Alvar St,Short Term Rental Commercial Owner,5,10,06/06/2025 11:59:00 PM,"(29.9635181754475, -90.0369469946087)",3691322.3,534547.43
837 Jackson Ave Apt A,837 Jackson Ave Apt A,Short Term Rental Commercial Owner,2,4,03/10/2025 11:59:00 PM,"(29.9279308338573, -90.0750727287196)",3679392.73,521472
1022 Mandeville St,1022 Mandeville St,Short Term Rental Commercial Owner,5,10,08/05/2025 11:59:00 PM,"(29.9682244404034, -90.0544540209883)",3685759.99,536196.51
629 Olivier St,629 Olivier St,Short Term Rental Commercial Owner,2,4,05/20/2025 11:59:00 PM,"(29.9489521870429, -90.049970161802)",3687258.13,529204.29
123 N D'orgenois St Apt 2A,123 N D'orgenois St Apt 2A,Short Term Rental Commercial Owner,3,6,05/19/2025 11:59:00 PM,"(29.9652892820861, -90.085743025094)",3675865.09,535019.96
913 Bartholomew St,913 Bartholomew St,Short Term Rental Commercial Owner,3,6,05/19/2025 11:59:00 PM,"(29.9637209588184, -90.0358641604058)",3691664.32,534625.05
4406 S Carrollton Ave,4406 S Carrollton Ave,Short Term Rental Commercial Owner,2,4,05/20/2025 11:59:00 PM,"(29.9712854373627, -90.103692703496)",3670158.4,537138.96
1429 N Claiborne Ave Apt G,1429 N Claiborne Ave Apt G,Short Term Rental Commercial Owner,1,2,05/21/2025 11:59:00 PM,"(29.970292536702, -90.0686073752641)",3681270.55,536898.81
2306 Louisiana Ave,2306 Louisiana Ave,Short Term Rental Commercial Owner,5,10,04/24/2025 11:59:00 PM,"(29.9347578420507, -90.0948505634512)",3673101.43,523886.3
840 Valence St,840 Valence St,Short Term Rental Commercial Owner,3,6,09/16/2025 11:59:00 PM,"(29.9204127663631, -90.1051445660796)",3669897.02,518634.81
334 Carondelet St Unit 206,334 Carondelet St Unit 206,Short Term Rental Commercial Owner,1,2,04/23/2025 11:59:00 PM,"(29.9509394056422, -90.0713261721023)",3680487.27,529851.8
339 Carondelet St Apt 4A,339 Carondelet St Apt 4A,Short Term Rental Commercial Owner,,,09/15/2025 11:59:00 PM,"(29.9511106063277, -90.071602847918)",3680398.97,529913.09
520 Opelousas Ave,520 Opelousas Ave,Short Term Rental Commercial Owner,1,2,05/21/2025 11:59:00 PM,"(29.9488860481615, -90.0499615705456)",3687261.12,529180.27
334 Carondelet St Unit 404,334 Carondelet St Unit 404,Short Term Rental Commercial Owner,1,2,09/15/2025 11:59:00 PM,"(29.950972895826, -90.0711708545927)",3680536.32,529864.52
2909 Louisiana Ave,2909 Louisiana Ave,Short Term Rental Commercial Owner,5,10,11/24/2025 11:59:00 PM,"(29.9402626692522, -90.09703132577)",3672389.14,525880.6
1317 Carondelet St,1317 Carondelet St,Short Term Rental Commercial Owner,5,10,07/17/2025 11:59:00 PM,"(29.9409598283613, -90.0761003995096)",3679015.24,526206.24
1214 Carondelet St,1214 Carondelet St,Short Term Rental Commercial Owner,4,8,07/14/2025 11:59:00 PM,"(29.9416715777124, -90.0752281494601)",3679288.64,526468.09
1727 Clio St,1727 Clio St,Short Term Rental Commercial Owner,4,8,07/17/2025 11:59:00 PM,"(29.9424808952421, -90.0756617165522)",3679148.1,526760.88
3948 Burgundy St,3948 Burgundy St,Short Term Rental Commercial Owner,5,10,07/17/2025 11:59:00 PM,"(29.9634046182952, -90.0364603891149)",3691476.84,534507.88
2300 Louisiana Ave,2300 Louisiana Ave,Short Term Rental Commercial Owner,5,10,04/23/2025 11:59:00 PM,"(29.9346582594406, -90.0948032706767)",3673116.8,523850.25
459 Philip St,459 Philip St,Short Term Rental Commercial Owner,2,4,07/17/2025 11:59:00 PM,"(29.9239927794823, -90.0733153243292)",3679965.12,520046.1
1930 Saint Claude Ave,1930 Saint Claude Ave,Short Term Rental Commercial Owner,2,4,09/18/2025 11:59:00 PM,"(29.9681168861119, -90.0595662692398)",3684141.82,536139.37
4020 Tchoupitoulas St,4020 Tchoupitoulas St,Short Term Rental Commercial Owner,5,10,09/16/2025 11:59:00 PM,"(29.917335562791, -90.0970944088737)",3672459.11,517543.25
804 N Broad St Apt B,804 N Broad St Apt B,Short Term Rental Commercial Owner,1,2,06/30/2025 11:59:00 PM,"(29.9713414245159, -90.0819948031365)",3677027.83,537233.69
2501 Orleans Ave,2501 Orleans Ave,Short Term Rental Commercial Owner,4,8,04/22/2025 11:59:00 PM,"(29.9692578038653, -90.0802422539881)",3677590.98,536482.07
4508 Magazine St,4508 Magazine St,Short Term Rental Commercial Owner,2,4,06/30/2025 11:59:00 PM,"(29.9205900939023, -90.1030031056976)",3670574.67,518706.57
1919 Sophie Wright Pl Unit 3,1919 Sophie Wright Pl Unit 3,Short Term Rental Commercial Owner,,,06/30/2025 11:59:00 PM,"(29.9319934698995, -90.0746904373375)",3679497.59,522950.65
721 S Salcedo St,721 S Salcedo St,Short Term Rental Commercial Owner,3,6,04/23/2025 11:59:00 PM,"(29.9624857520255, -90.0967708305234)",3672384.43,533962.64
704 N Claiborne Ave Apt 1A,704 N Claiborne Ave Apt 1A,Short Term Rental Commercial Owner,1,2,04/23/2025 11:59:00 PM,"(29.9638185709173, -90.0731116406798)",3679870.36,534528.92
704 N Claiborne Ave Apt 2A,704 N Claiborne Ave Apt 2A,Short Term Rental Commercial Owner,3,6,04/23/2025 11:59:00 PM,"(29.9638076207369, -90.0730881234439)",3679877.85,534525.02
3413 S Liberty St,3413 S Liberty St,Short Term Rental Commercial Owner,5,10,04/23/2025 11:59:00 PM,"(29.9345432866802, -90.095008251953)",3673052.33,523807.74
2655 Saint Ann St,2655 Saint Ann St,Short Term Rental Commercial Owner,3,6,04/25/2025 11:59:00 PM,"(29.971243488633, -90.0820314701115)",3677016.61,537197.95
806 N Broad St Apt A,806 N Broad St Apt A,Short Term Rental Commercial Owner,1,2,04/24/2025 11:59:00 PM,"(29.9713781187727, -90.0819957957977)",3677027.37,537247.03
704 N Claiborne Ave Apt 1B,704 N Claiborne Ave Apt 1B,Short Term Rental Commercial Owner,1,2,04/23/2025 11:59:00 PM,"(29.9638352282915, -90.0730964915893)",3679875.09,534535.03
2722 Banks St,2722 Banks St,Short Term Rental Commercial Owner,4,8,04/16/2025 11:59:00 PM,"(29.9631677435945, -90.0904038890144)",3674397.72,534232.45
3217 Saint Claude Ave,3217 Saint Claude Ave,Short Term Rental Commercial Owner,5,10,11/25/2025 11:59:00 PM,"(29.9673796359608, -90.0418996097884)",3689738.34,535933.89
417 N Galvez St,417 N Galvez St,Short Term Rental Commercial Owner,5,10,11/25/2025 11:59:00 PM,"(29.9651612726327, -90.080030301482)",3677674.38,534993.15
721 Jackson Ave,721 Jackson Ave,Short Term Rental Commercial Owner,4,8,08/04/2025 11:59:00 PM,"(29.9268812822947, -90.0742092292247)",3679670.43,521093.35
704 N Claiborne Ave Apt 2B,704 N Claiborne Ave Apt 2B,Short Term Rental Commercial Owner,3,6,04/24/2025 11:59:00 PM,"(29.9638247117507, -90.0730780537121)",3679880.97,534531.27
2017 Oretha Castle Haley Blvd,2017 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,04/25/2025 11:59:00 PM,"(29.9380784994468, -90.0816592049704)",3677266.21,525139.21
4404 S Carrollton Ave,4404 S Carrollton Ave,Short Term Rental Commercial Owner,1,2,05/20/2025 11:59:00 PM,"(29.9712519485595, -90.1037227746797)",3670149.01,537126.68
1920 Magazine St Apt 2A,1920 Magazine St Apt 2A,Short Term Rental Commercial Owner,2,4,05/23/2025 11:59:00 PM,"(29.9311916277835, -90.0741936842814)",3679658.13,522660.8
,,Short Term Rental Commercial Owner,2,4,09/16/2025 11:59:00 PM,"(29.970456366695, -90.049534091728)",3687308.61,537025.54
25574 Chef Menteur Hwy,25574 Chef Menteur Hwy,Short Term Rental Commercial Owner,3,6,05/20/2025 11:59:00 PM,"(30.1404762479766, -89.7514147675744)",3780839.88,600030.17
3727 Frenchmen St,3727 Frenchmen St,Short Term Rental Commercial Owner,4,8,07/17/2025 11:59:00 PM,"(29.9964875870456, -90.0602581460705)",3683808.14,546453.6
1815 Euterpe St,1815 Euterpe St,Short Term Rental Commercial Owner,2,4,05/19/2025 11:59:00 PM,"(29.9393641670638, -90.0793620955425)",3677988.61,525614.68
2726 Royal St Apt A,2726 Royal St Apt A,Short Term Rental Commercial Owner,4,8,05/20/2025 11:59:00 PM,"(29.9643825280093, -90.0498325393151)",3687238.86,534815.81
430 Eighth St,430 Eighth St,Short Term Rental Commercial Owner,5,10,05/19/2025 11:59:00 PM,"(29.9200843512261, -90.0822630463915)",3677146.41,518593.8
631 Olivier St,631 Olivier St,Short Term Rental Commercial Owner,1,2,05/20/2025 11:59:00 PM,"(29.9489630433996, -90.0499751694256)",3687256.5,529208.22
531 S Tonti St,531 S Tonti St,Short Term Rental Commercial Owner,5,10,05/20/2025 11:59:00 PM,"(29.959448880746, -90.087565664149)",3675311.09,532889.89
4431 Tchoupitoulas St,4431 Tchoupitoulas St,Short Term Rental Commercial Owner,4,8,05/23/2025 11:59:00 PM,"(29.9171698388745, -90.102039474674)",3670893.28,517466.12
1038 Franklin Ave,1038 Franklin Ave,Short Term Rental Commercial Owner,3,6,08/05/2025 11:59:00 PM,"(29.968791702907, -90.050280440091)",3687079.09,536417.56
1429 N Claiborne Ave Apt H,1429 N Claiborne Ave Apt H,Short Term Rental Commercial Owner,1,2,05/21/2025 11:59:00 PM,"(29.9703010497073, -90.0686204382519)",3681266.38,536901.86
"1814 Martin Luther King, Jr Blvd","1814 Martin Luther King, Jr Blvd",Short Term Rental Commercial Owner,4,8,07/11/2025 11:59:00 PM,"(29.9405977333448, -90.0784160025825)",3678283.33,526066.53
1216 Carondelet St,1216 Carondelet St,Short Term Rental Commercial Owner,4,8,07/15/2025 11:59:00 PM,"(29.9416171064108, -90.0752748105691)",3679274.08,526448.12
1321 Carondelet St,1321 Carondelet St,Short Term Rental Commercial Owner,5,10,08/06/2025 11:59:00 PM,"(29.9408839388527, -90.0761532974121)",3678998.79,526178.46
1411 St Bernard Ave,1411 St Bernard Ave,Short Term Rental Commercial Owner,3,6,05/06/2025 11:59:00 PM,"(29.9714078340393, -90.0645686730082)",3682544.74,537318.51
1736 Thalia St,1736 Thalia St,Short Term Rental Commercial Owner,5,10,05/06/2025 11:59:00 PM,"(29.9408852678177, -90.0770899070373)",3678702.16,526175.69
1810 Oretha Castle Haley Blvd,1810 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,11/24/2025 11:59:00 PM,"(29.938697391877, -90.0808102249235)",3677532.63,525367.2
620 S Rocheblave St,620 S Rocheblave St,Short Term Rental Commercial Owner,5,10,05/06/2025 11:59:00 PM,"(29.958994344567, -90.0890955463226)",3674828.46,532719.34
1629 N Roman St,1629 N Roman St,Short Term Rental Commercial Owner,3,6,05/06/2025 11:59:00 PM,"(29.9745438087695, -90.0670895823307)",3681734.01,538450.04
1618 St Philip St,1618 St Philip St,Short Term Rental Commercial Owner,3,6,05/06/2025 11:59:00 PM,"(29.9659893307997, -90.0707933722152)",3680595.69,535326.37
2213 Saint Bernard Ave,2213 Saint Bernard Ave,Short Term Rental Commercial Owner,3,6,05/07/2025 11:59:00 PM,"(29.9793435171772, -90.0691625062546)",3681058.48,540188.15
1750 N Rampart St,1750 N Rampart St,Short Term Rental Commercial Owner,3,6,03/04/2025 11:59:00 PM,"(29.9671602538384, -90.0617823156147)",3683444.05,535783.71
1513 Saint Charles Ave Apt A,1513 Saint Charles Ave Apt A,Short Term Rental Commercial Owner,2,4,03/05/2025 11:59:00 PM,"(29.93892154815, -90.0759298078268)",3679077.4,525465.64
1227 Saint Ferdinand St,1227 Saint Ferdinand St,Short Term Rental Commercial Owner,2,4,05/07/2025 11:59:00 PM,"(29.9700387757852, -90.0477025829521)",3687890.18,536880.19
1416 Carondelet St Unit B,1416 Carondelet St Unit B,Short Term Rental Commercial Owner,2,4,05/08/2025 11:59:00 PM,"(29.9400437303138, -90.0763258633901)",3678947.49,525872.33
25548 Chef Menteur Hwy,25548 Chef Menteur Hwy,Short Term Rental Commercial Owner,3,6,06/03/2025 11:59:00 PM,"(30.1403670625787, -89.7520832501924)",3780629.15,599987.55
,,Short Term Rental Commercial Owner,5,10,06/06/2025 11:59:00 PM,"(29.9633486762451, -90.036180660918)",3691565.64,534488.54
2601 Marais St,2601 Marais St,Short Term Rental Commercial Owner,5,10,06/06/2025 11:59:00 PM,"(29.9699506312954, -90.0496908172654)",3687261.05,536841.08
4613 Tchoupitoulas St,4613 Tchoupitoulas St,Short Term Rental Commercial Owner,1,2,03/06/2025 11:59:00 PM,"(29.9170330741967, -90.103870272117)",3670313.86,517410.16
1235 St Ferdinand St,1235 St Ferdinand St,Short Term Rental Commercial Owner,,,03/06/2025 11:59:00 PM,"(29.9702241202289, -90.0476457420208)",3687907.42,536947.79
4331 Tchoupitoulas St,4331 Tchoupitoulas St,Short Term Rental Commercial Owner,4,8,09/16/2025 11:59:00 PM,"(29.9172888955766, -90.1006428881095)",3671335.22,517514.17
4615 Tchoupitoulas St,4615 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,03/06/2025 11:59:00 PM,"(29.9170323765645, -90.1039221468537)",3670297.43,517409.73
3725 Bienville Ave,3725 Bienville Ave,Short Term Rental Commercial Owner,4,8,06/03/2025 11:59:00 PM,"(29.9740685177042, -90.0955508389331)",3672725.22,538178.75
636 S Rocheblave St,636 S Rocheblave St,Short Term Rental Commercial Owner,5,10,08/16/2025 11:59:00 PM,"(29.9587331548871, -90.089346147296)",3674750.14,532623.5
1425 St Bernard Ave,1425 St Bernard Ave,Short Term Rental Commercial Owner,3,6,06/06/2025 11:59:00 PM,"(29.9716455568501, -90.0647726284954)",3682479.21,537404.24
1714 Saint Thomas St,1714 Saint Thomas St,Short Term Rental Commercial Owner,5,10,07/17/2025 11:59:00 PM,"(29.929049429407, -90.0688552636277)",3681357.57,521900.44
2011 N Claiborne Ave,2011 N Claiborne Ave,Short Term Rental Commercial Owner,3,6,08/16/2025 11:59:00 PM,"(29.9735721693877, -90.0593516987322)",3684187.7,538123.87
3008 Toulouse St,3008 Toulouse St,Short Term Rental Commercial Owner,2,4,07/17/2025 11:59:00 PM,"(29.9717072668062, -90.0872797428112)",3675353.15,537348.49
2009 N Claiborne Ave,2009 N Claiborne Ave,Short Term Rental Commercial Owner,3,6,08/16/2025 11:59:00 PM,"(29.9735694994126, -90.0593912152973)",3684175.2,538122.76
2428 Valence St,2428 Valence St,Short Term Rental Commercial Owner,2,4,07/15/2025 11:59:00 PM,"(29.9346970109004, -90.1065996460938)",3669380.49,523824.15
1212 Carondelet St,1212 Carondelet St,Short Term Rental Commercial Owner,4,8,07/14/2025 11:59:00 PM,"(29.9416938558743, -90.0752141015318)",3679293,526476.24
2826 Saint Louis St,2826 Saint Louis St,Short Term Rental Commercial Owner,3,6,08/05/2025 11:59:00 PM,"(29.9698471121716, -90.0868053903864)",3675510.69,536673.7
1919 Burgundy St Unit B,1919 Burgundy St Unit B,Short Term Rental Commercial Owner,2,4,09/17/2025 11:59:00 PM,"(29.9665661652806, -90.0597623998404)",3684085.99,535574.78
635 S Lopez St,635 S Lopez St,Short Term Rental Commercial Owner,4,8,08/16/2025 11:59:00 PM,"(29.9636030071537, -90.0966820691225)",3672408.15,534369.22
1014 Canal St Apt 203,1014 Canal St Apt 203,Short Term Rental Commercial Owner,2,4,07/14/2025 11:59:00 PM,"(29.955035950579, -90.0724089681311)",3680127.99,531337.68
1718 Saint Thomas St,1718 Saint Thomas St,Short Term Rental Commercial Owner,5,10,07/17/2025 11:59:00 PM,"(29.9289643932856, -90.0688718111748)",3681352.67,521869.46
1306 Magazine St,1306 Magazine St,Short Term Rental Commercial Owner,5,10,07/15/2025 11:59:00 PM,"(29.938003354566, -90.071251779625)",3680562.64,525148.04
2110 Burgundy St Apt 2,2110 Burgundy St Apt 2,Short Term Rental Commercial Owner,3,6,11/24/2025 11:59:00 PM,"(29.966319365818, -90.0575803701117)",3684777.86,535492.72
2025 Oretha Castle Haley Blvd,2025 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,11/24/2025 11:59:00 PM,"(29.93799750927, -90.0817861088886)",3677226.34,525109.32
1637 Erato St,1637 Erato St,Short Term Rental Commercial Owner,5,10,07/15/2025 11:59:00 PM,"(29.9410870443662, -90.0753237410375)",3679260.7,526255.2
25408 Chef Menteur Hwy,25408 Chef Menteur Hwy,Short Term Rental Commercial Owner,3,6,03/06/2025 11:59:00 PM,"(30.1382641412365, -89.7543530283708)",3779922.31,599212.96
1014 Canal St Unit 202,1014 Canal St Unit 202,Short Term Rental Commercial Owner,2,4,07/14/2025 11:59:00 PM,"(29.9550487442215, -90.0723981323925)",3680131.37,531342.37
1218 Carondelet St,1218 Carondelet St,Short Term Rental Commercial Owner,4,8,07/15/2025 11:59:00 PM,"(29.9415979045496, -90.0752884723577)",3679269.83,526441.09
1641 Erato St,1641 Erato St,Short Term Rental Commercial Owner,5,10,07/15/2025 11:59:00 PM,"(29.9411323569869, -90.0754006249173)",3679236.17,526271.41
633 S Lopez St,633 S Lopez St,Short Term Rental Commercial Owner,4,8,08/16/2025 11:59:00 PM,"(29.963630370367, -90.0966704549299)",3672411.72,534379.21
,,Short Term Rental Commercial Owner,1,2,09/16/2025 11:59:00 PM,"(29.9704470330682, -90.0494878450318)",3687323.29,537022.31
4201 Tchoupitoulas St,4201 Tchoupitoulas St,Short Term Rental Commercial Owner,3,6,05/13/2025 11:59:00 PM,"(29.9174150954634, -90.0988544497614)",3671901.26,517566.16
3929 Toulouse St,3929 Toulouse St,Short Term Rental Commercial Owner,1,2,05/13/2025 11:59:00 PM,"(29.9775410356912, -90.0956422184908)",3672682.65,539441.18
1635 Erato St,1635 Erato St,Short Term Rental Commercial Owner,5,10,07/15/2025 11:59:00 PM,"(29.9410632069257, -90.0752811302414)",3679274.29,526246.68
1305 Carondelet St,1305 Carondelet St,Short Term Rental Commercial Owner,5,10,07/17/2025 11:59:00 PM,"(29.941148463417, -90.0759520803172)",3679061.46,526275.35
617 N Rocheblave St,617 N Rocheblave St,Short Term Rental Commercial Owner,5,10,03/04/2025 11:59:00 PM,"(29.9680982924113, -90.0812730386247)",3677269.23,536056.86
1014 Canal St Apt 201,1014 Canal St Apt 201,Short Term Rental Commercial Owner,2,4,07/14/2025 11:59:00 PM,"(29.9550621935068, -90.0723839724575)",3680135.8,531347.31
2546 Columbus St,2546 Columbus St,Short Term Rental Commercial Owner,3,6,11/25/2025 11:59:00 PM,"(29.9772763570204, -90.0764158956696)",3678770.46,539411.19
2614 Banks St,2614 Banks St,Short Term Rental Commercial Owner,5,10,03/07/2025 11:59:00 PM,"(29.9620717701521, -90.0887344928581)",3674930.63,533839.65
2327 Aubry St,2327 Aubry St,Short Term Rental Commercial Owner,3,6,07/27/2025 11:59:00 PM,"(29.9797798549603, -90.0702048423702)",3680726.75,540343.18
1639 Erato St,1639 Erato St,Short Term Rental Commercial Owner,5,10,07/15/2025 11:59:00 PM,"(29.9411110824203, -90.0753672018676)",3679246.84,526263.79
1220 Carondelet St,1220 Carondelet St,Short Term Rental Commercial Owner,5,10,07/15/2025 11:59:00 PM,"(29.9415356549607, -90.0753384521825)",3679254.25,526418.28
1222 Carondelet St,1222 Carondelet St,Short Term Rental Commercial Owner,5,10,07/15/2025 11:59:00 PM,"(29.9415115876895, -90.0753523331591)",3679249.95,526409.48
